classAccount,timestamp,UTC,total,public_public1,public_public2,public_public3,public_public4,secret_secret01,secret_secret02,secret_secret03,secret_secret04,secret_secret05,secret_secret06,secret_secret07,secret_secret08,secret_secret09,secret_secret10,secret_secret11,secret_secret12,secret_secret13
kmm17,2012-10-22 18:36:31.0,1350945391000,76,5,5,5,5,7,7,6,0,6,0,6,6,6,0,6,6,0
rsamel,2012-10-22 18:40:13.0,1350945613000,82,5,5,5,5,7,7,6,6,6,6,6,6,6,0,0,0,6
arjun1,2012-10-22 18:40:39.0,1350945639000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
thomasw,2012-10-22 18:40:52.0,1350945652000,39,5,5,5,5,7,0,6,0,6,0,0,0,0,0,0,0,0
pvaughn,2012-10-22 18:41:44.0,1350945704000,29,5,5,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0
fchen12,2012-10-22 18:42:49.0,1350945769000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,6
amascone,2012-10-22 18:45:54.0,1350945954000,19,5,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
ahuang14,2012-10-22 18:50:22.0,1350946222000,82,5,5,5,5,7,7,6,6,6,0,0,6,6,6,6,6,0
crogan,2012-10-22 18:51:50.0,1350946310000,70,5,5,5,5,7,7,0,0,6,0,6,6,6,0,6,6,0
pvaughn,2012-10-22 18:54:01.0,1350946441000,29,5,5,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0
klee1211,2012-10-22 18:58:44.0,1350946724000,82,5,5,5,5,7,7,0,6,6,6,6,6,6,0,6,0,6
pvaughn,2012-10-22 18:58:57.0,1350946737000,47,5,5,5,0,7,7,0,6,6,6,0,0,0,0,0,0,0
rjames13,2012-10-22 19:02:46.0,1350946966000,82,5,5,5,5,7,7,6,0,6,0,0,6,6,6,6,6,6
evanwang,2012-10-22 19:03:27.0,1350947007000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
pphlek,2012-10-22 19:06:39.0,1350947199000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,0,6,6
pvaughn,2012-10-22 19:08:06.0,1350947286000,47,5,5,5,0,7,7,0,6,6,6,0,0,0,0,0,0,0
crogan,2012-10-22 19:10:55.0,1350947455000,70,5,5,5,5,7,7,0,0,6,0,6,6,6,0,6,6,0
amascone,2012-10-22 19:11:22.0,1350947482000,29,5,5,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0
nkarroum,2012-10-22 19:14:22.0,1350947662000,58,5,5,5,5,7,7,0,6,0,6,6,0,0,0,0,6,0
fchen12,2012-10-22 19:15:42.0,1350947742000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,6
dshaw,2012-10-22 19:15:53.0,1350947753000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
nleibolt,2012-10-22 19:16:19.0,1350947779000,45,5,5,5,5,7,0,6,0,0,0,6,0,0,6,0,0,0
nkarroum,2012-10-22 19:16:41.0,1350947801000,58,5,5,5,5,7,7,0,6,0,6,6,0,0,0,0,6,0
klee1211,2012-10-22 19:18:48.0,1350947928000,82,5,5,5,5,7,7,0,6,6,6,6,6,6,0,6,0,6
klee1211,2012-10-22 19:19:43.0,1350947983000,82,5,5,5,5,7,7,0,6,6,6,6,6,6,0,6,0,6
jkrynits,2012-10-22 19:20:02.0,1350948002000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,6
atran124,2012-10-22 19:20:02.0,1350948002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atran124,2012-10-22 19:23:04.0,1350948184000,25,5,0,0,0,7,7,0,0,0,0,0,0,0,0,0,6,0
nleibolt,2012-10-22 19:25:20.0,1350948320000,45,5,5,5,5,7,0,6,0,0,0,6,0,0,6,0,0,0
crobins,2012-10-22 19:26:20.0,1350948380000,40,5,5,5,0,0,7,0,6,0,6,0,0,0,0,0,6,0
jmpenny,2012-10-22 19:32:03.0,1350948723000,88,5,5,5,5,7,7,6,0,6,0,6,6,6,6,6,6,6
crobins,2012-10-22 19:34:26.0,1350948866000,46,5,5,5,5,7,7,6,0,0,0,0,0,0,0,0,6,0
aduvall,2012-10-22 19:34:30.0,1350948870000,17,5,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
wwarshaw,2012-10-22 19:37:25.0,1350949045000,82,5,5,5,5,7,7,6,6,0,6,6,0,6,6,6,0,6
arjun1,2012-10-22 19:40:06.0,1350949206000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
ahuang14,2012-10-22 19:41:27.0,1350949287000,88,5,5,5,5,7,7,6,6,6,6,0,6,6,6,6,6,0
pphlek,2012-10-22 19:41:44.0,1350949304000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,0,6,6
atran124,2012-10-22 19:41:59.0,1350949319000,58,5,5,5,5,7,7,0,0,0,0,6,6,6,0,0,6,0
amascone,2012-10-22 19:42:50.0,1350949370000,46,5,5,5,5,7,7,0,6,0,6,0,0,0,0,0,0,0
skhan126,2012-10-22 19:44:43.0,1350949483000,75,5,5,5,5,7,0,6,6,6,6,0,6,6,6,0,0,6
pvaughn,2012-10-22 19:46:53.0,1350949613000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,6
skhan126,2012-10-22 19:51:09.0,1350949869000,75,5,5,5,5,7,0,6,6,6,6,0,6,6,6,0,0,6
jdi,2012-10-22 19:55:10.0,1350950110000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
atran124,2012-10-22 19:55:11.0,1350950111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atran124,2012-10-22 19:56:35.0,1350950195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fchen12,2012-10-22 20:00:00.0,1350950400000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,6
rle1,2012-10-22 20:00:48.0,1350950448000,58,5,5,5,5,7,7,6,6,0,6,0,0,0,0,0,6,0
atran124,2012-10-22 20:00:58.0,1350950458000,58,5,5,5,5,7,7,0,0,0,0,6,6,6,0,0,6,0
smorton,2012-10-22 20:01:50.0,1350950510000,27,5,5,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0
alally,2012-10-22 20:01:59.0,1350950519000,64,5,5,5,5,7,7,6,6,6,6,0,0,0,6,0,0,0
jwang113,2012-10-22 20:02:26.0,1350950546000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,6
jlainn,2012-10-22 20:03:18.0,1350950598000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khogan,2012-10-22 20:03:52.0,1350950632000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,6
jleo32,2012-10-22 20:09:04.0,1350950944000,82,5,5,5,5,7,7,6,0,6,0,6,6,6,6,6,6,0
klee1211,2012-10-22 20:11:58.0,1350951118000,82,5,5,5,5,7,7,0,6,6,6,6,6,6,0,6,0,6
khogan,2012-10-22 20:15:52.0,1350951352000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,6
azsheikh,2012-10-22 20:16:43.0,1350951403000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
thomasw,2012-10-22 20:20:00.0,1350951600000,46,5,5,5,5,7,7,6,0,6,0,0,0,0,0,0,0,0
dshaw,2012-10-22 20:20:39.0,1350951639000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
anewell,2012-10-22 20:20:56.0,1350951656000,64,5,5,5,5,7,7,6,6,6,6,6,0,0,0,0,0,0
skhan126,2012-10-22 20:22:47.0,1350951767000,88,5,5,5,5,7,7,6,6,6,6,0,6,6,6,0,6,6
dshaw,2012-10-22 20:25:12.0,1350951912000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
thomasw,2012-10-22 20:28:50.0,1350952130000,46,5,5,5,5,7,7,6,0,6,0,0,0,0,0,0,0,0
oahsan,2012-10-22 20:31:11.0,1350952271000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
ychen123,2012-10-22 20:32:16.0,1350952336000,53,5,0,5,5,7,7,6,6,6,0,0,0,0,0,0,6,0
jbkim,2012-10-22 20:33:01.0,1350952381000,51,5,5,5,5,7,0,6,6,6,6,0,0,0,0,0,0,0
rswann,2012-10-22 20:37:04.0,1350952624000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
jstout1,2012-10-22 20:38:03.0,1350952683000,88,5,5,5,5,7,7,6,6,6,6,6,6,6,6,0,0,6
jleo32,2012-10-22 20:40:14.0,1350952814000,82,5,5,5,5,7,7,6,0,6,0,6,6,6,6,6,6,0
mdjackso,2012-10-22 20:40:44.0,1350952844000,76,5,5,5,5,7,7,0,0,6,0,6,6,6,0,6,6,6
viyen,2012-10-22 20:41:05.0,1350952865000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
kbyrdman,2012-10-22 20:44:28.0,1350953068000,64,5,5,5,5,7,7,6,6,6,6,0,0,0,6,0,0,0
mdjackso,2012-10-22 20:44:38.0,1350953078000,88,5,5,5,5,7,7,6,0,6,0,6,6,6,6,6,6,6
alinhard,2012-10-22 20:44:41.0,1350953081000,94,5,5,5,5,7,7,6,6,0,6,6,6,6,6,6,6,6
adilosa,2012-10-22 20:45:48.0,1350953148000,52,5,5,5,5,7,7,6,0,6,0,0,0,0,0,0,6,0
ahuang14,2012-10-22 20:48:26.0,1350953306000,88,5,5,5,5,7,7,6,6,6,6,0,6,6,6,6,6,0
oahsan,2012-10-22 20:49:25.0,1350953365000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
aac312,2012-10-22 20:50:22.0,1350953422000,24,5,0,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0
nickpoz,2012-10-22 20:52:07.0,1350953527000,70,5,5,5,5,7,7,6,6,6,6,0,0,0,0,6,6,0
khaile,2012-10-22 20:53:18.0,1350953598000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
awu300,2012-10-22 20:55:17.0,1350953717000,63,5,5,5,5,7,0,0,6,6,6,6,6,6,0,0,0,0
jdi,2012-10-22 20:55:51.0,1350953751000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
jacbaker,2012-10-22 20:55:52.0,1350953752000,82,5,5,5,5,7,7,6,0,6,0,6,6,6,6,6,0,6
kathrynh,2012-10-22 20:57:18.0,1350953838000,64,5,5,5,5,7,7,0,6,0,6,6,0,0,0,6,0,6
ychen123,2012-10-22 20:57:35.0,1350953855000,94,5,5,5,5,7,7,6,6,6,0,6,6,6,6,6,6,6
khaile,2012-10-22 20:57:46.0,1350953866000,46,5,5,5,5,7,7,0,0,0,0,6,0,0,0,0,6,0
bwhitehe,2012-10-22 20:59:24.0,1350953964000,88,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,0
jrobusto,2012-10-22 20:59:58.0,1350953998000,64,5,5,5,5,7,7,0,6,6,6,6,0,0,0,0,6,0
khogan,2012-10-22 21:04:15.0,1350954255000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
atran124,2012-10-22 21:05:14.0,1350954314000,45,5,5,5,5,7,0,0,0,0,0,6,6,6,0,0,0,0
arinray,2012-10-22 21:05:52.0,1350954352000,40,5,5,5,5,7,7,0,6,0,0,0,0,0,0,0,0,0
dweitz27,2012-10-22 21:09:51.0,1350954591000,88,5,5,5,5,7,7,6,6,6,6,0,6,6,6,0,6,6
driveros,2012-10-22 21:09:53.0,1350954593000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
wiselion,2012-10-22 21:10:26.0,1350954626000,82,5,5,5,5,7,7,6,0,6,0,6,6,6,6,6,6,0
viyen,2012-10-22 21:12:13.0,1350954733000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
krutkows,2012-10-22 21:12:28.0,1350954748000,76,5,5,5,5,7,7,6,0,0,0,6,6,6,6,0,6,6
rmonga1,2012-10-22 21:16:06.0,1350954966000,57,5,5,5,5,7,0,6,6,6,6,0,0,0,0,6,0,0
pbloch,2012-10-22 21:17:01.0,1350955021000,40,5,5,5,5,7,7,6,0,0,0,0,0,0,0,0,0,0
akapur92,2012-10-22 21:23:01.0,1350955381000,70,5,5,5,5,7,7,6,6,0,0,0,6,6,6,0,6,0
akapur92,2012-10-22 21:26:39.0,1350955599000,70,5,5,5,5,7,7,6,6,0,0,0,6,6,6,0,6,0
kathrynh,2012-10-22 21:27:25.0,1350955645000,82,5,5,5,5,7,7,0,6,0,6,6,6,6,0,6,6,6
Ooludemi,2012-10-22 21:28:57.0,1350955737000,70,5,5,5,5,7,7,0,0,6,0,6,6,6,0,0,6,6
pmasigla,2012-10-22 21:30:01.0,1350955801000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kjames33,2012-10-22 21:30:29.0,1350955829000,70,5,5,5,5,7,7,0,6,6,6,6,0,6,0,0,0,6
jkrynits,2012-10-22 21:31:11.0,1350955871000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
jlotkows,2012-10-22 21:32:32.0,1350955952000,70,5,5,5,5,7,7,6,6,6,6,0,0,0,6,0,6,0
atran124,2012-10-22 21:32:34.0,1350955954000,40,5,5,0,5,7,0,0,0,0,0,6,6,6,0,0,0,0
atran124,2012-10-22 21:33:36.0,1350956016000,40,5,5,0,5,7,0,0,0,0,0,6,6,6,0,0,0,0
Ooludemi,2012-10-22 21:34:02.0,1350956042000,70,5,5,5,5,7,7,0,0,6,0,6,6,6,0,0,6,6
ychen123,2012-10-22 21:34:10.0,1350956050000,94,5,5,5,5,7,7,6,6,6,0,6,6,6,6,6,6,6
atran124,2012-10-22 21:34:17.0,1350956057000,40,5,5,0,5,7,0,0,0,0,0,6,6,6,0,0,0,0
pmasigla,2012-10-22 21:34:41.0,1350956081000,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aridgway,2012-10-22 21:37:03.0,1350956223000,82,5,5,5,5,7,7,6,6,6,6,6,6,6,6,0,0,0
atran124,2012-10-22 21:39:20.0,1350956360000,45,5,5,5,5,7,0,0,0,0,0,6,6,6,0,0,0,0
sal1992,2012-10-22 21:39:36.0,1350956376000,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmasigla,2012-10-22 21:41:56.0,1350956516000,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jkrynits,2012-10-22 21:43:14.0,1350956594000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
dnaval,2012-10-22 21:43:29.0,1350956609000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
mwollman,2012-10-22 21:44:17.0,1350956657000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mwollman,2012-10-22 21:45:15.0,1350956715000,12,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
khaile,2012-10-22 21:50:52.0,1350957052000,52,5,5,5,5,7,7,0,0,6,0,6,0,0,0,0,6,0
garrettt,2012-10-22 21:52:02.0,1350957122000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jbkim,2012-10-22 21:52:56.0,1350957176000,51,5,5,5,5,7,0,6,6,6,6,0,0,0,0,0,0,0
aduvall,2012-10-22 21:55:00.0,1350957300000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
fchen12,2012-10-22 21:56:09.0,1350957369000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kjames33,2012-10-22 21:56:10.0,1350957370000,70,5,5,5,5,7,7,0,6,6,6,6,0,6,0,0,0,6
andyb,2012-10-22 21:57:55.0,1350957475000,88,5,5,5,5,7,7,6,6,0,6,6,6,6,6,6,6,0
rmonga1,2012-10-22 21:58:20.0,1350957500000,57,5,5,5,5,7,0,6,6,6,6,0,0,0,0,6,0,0
lucataco,2012-10-22 21:58:41.0,1350957521000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relh,2012-10-22 21:58:59.0,1350957539000,63,5,5,5,5,7,0,6,6,6,6,6,0,6,0,0,0,0
jleo32,2012-10-22 21:58:59.0,1350957539000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,0
oahsan,2012-10-22 21:59:22.0,1350957562000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
takako,2012-10-22 22:01:07.0,1350957667000,59,5,5,0,5,7,7,0,0,6,0,6,6,6,0,6,0,0
aduvall,2012-10-22 22:02:16.0,1350957736000,33,5,5,5,5,7,0,0,0,6,0,0,0,0,0,0,0,0
bdoyle,2012-10-22 22:43:39.0,1350960219000,57,5,5,5,5,7,0,6,6,0,6,6,0,0,6,0,0,0
bdoyle,2012-10-22 23:02:43.0,1350961363000,57,5,5,5,5,7,0,6,6,0,6,6,0,0,6,0,0,0
myw1992,2012-10-22 23:07:54.0,1350961674000,39,5,5,5,5,7,0,0,6,0,6,0,0,0,0,0,0,0
jbkim,2012-10-22 23:22:06.0,1350962526000,64,5,5,5,5,7,7,6,6,6,6,0,0,0,0,0,6,0
robertzi,2012-10-22 23:24:05.0,1350962645000,35,5,5,5,0,7,7,0,0,0,0,0,0,0,0,0,6,0
robertzi,2012-10-22 23:32:33.0,1350963153000,64,5,5,5,5,7,7,6,0,6,0,0,0,0,6,6,6,0
mwollman,2012-10-23 00:01:19.0,1350964879000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
jsearles,2012-10-23 00:12:14.0,1350965534000,58,5,5,5,5,7,7,6,0,6,0,6,0,0,0,6,0,0
mwollman,2012-10-23 00:12:47.0,1350965567000,51,5,5,5,5,7,0,0,0,0,0,6,6,6,0,6,0,0
mwollman,2012-10-23 00:54:53.0,1350968093000,63,5,5,5,5,7,0,6,0,0,0,6,6,6,6,6,0,0
Khwang,2012-10-23 00:58:55.0,1350968335000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mwollman,2012-10-23 00:59:44.0,1350968384000,69,5,5,5,5,7,0,6,0,6,0,6,6,6,6,6,0,0
Khwang,2012-10-23 01:24:17.0,1350969857000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
dcosiem,2012-10-23 01:50:55.0,1350971455000,40,5,5,5,5,7,7,0,0,6,0,0,0,0,0,0,0,0
dcabrer1,2012-10-23 02:47:36.0,1350974856000,75,5,5,5,5,7,0,6,6,6,6,6,6,6,0,0,0,6
dcosiem,2012-10-23 03:03:37.0,1350975817000,40,5,5,5,5,7,7,0,0,6,0,0,0,0,0,0,0,0
gagankt,2012-10-23 05:36:31.0,1350984991000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gagankt,2012-10-23 05:39:46.0,1350985186000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
gagankt,2012-10-23 05:41:27.0,1350985287000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
aac312,2012-10-23 09:45:14.0,1350999914000,35,5,0,5,5,7,7,6,0,0,0,0,0,0,0,0,0,0
aac312,2012-10-23 10:59:34.0,1351004374000,40,5,5,5,5,7,7,6,0,0,0,0,0,0,0,0,0,0
sal1992,2012-10-23 11:09:34.0,1351004974000,17,5,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
takako,2012-10-23 12:34:35.0,1351010075000,70,5,5,5,5,7,7,0,0,6,0,6,6,6,0,6,6,0
bdoyle,2012-10-23 14:02:46.0,1351015366000,57,5,5,5,5,7,0,6,6,0,6,6,0,0,0,0,0,6
andyb,2012-10-23 14:12:55.0,1351015975000,88,5,5,5,5,7,7,6,6,0,6,6,6,6,6,6,6,0
pater24,2012-10-23 16:19:05.0,1351023545000,53,5,0,5,5,7,7,6,6,0,6,0,0,0,0,0,6,0
pkyaw,2012-10-23 16:27:27.0,1351024047000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,6
atran124,2012-10-23 17:28:38.0,1351027718000,45,5,5,5,5,7,0,0,0,0,0,6,6,6,0,0,0,0
pater24,2012-10-23 18:22:18.0,1351030938000,75,5,5,5,5,7,0,6,6,0,6,6,6,6,6,6,0,0
ssilberh,2012-10-23 18:35:29.0,1351031729000,40,5,5,5,5,7,7,0,0,6,0,0,0,0,0,0,0,0
ahayhurs,2012-10-23 19:00:47.0,1351033247000,89,5,5,0,5,7,7,6,0,6,6,6,6,6,6,6,6,6
dcabrer1,2012-10-23 19:06:01.0,1351033561000,88,5,5,5,5,7,7,6,6,6,6,6,6,6,6,0,6,0
Khwang,2012-10-23 19:09:40.0,1351033780000,39,5,5,5,5,7,0,6,0,6,0,0,0,0,0,0,0,0
pater24,2012-10-23 19:12:45.0,1351033965000,88,5,5,5,5,7,7,6,6,0,6,6,6,6,6,6,6,0
pkyaw,2012-10-23 19:16:12.0,1351034172000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
ahayhurs,2012-10-23 19:21:39.0,1351034499000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
lucataco,2012-10-23 19:23:44.0,1351034624000,51,5,5,5,5,7,0,6,0,6,6,0,0,0,6,0,0,0
dcabrer1,2012-10-23 19:24:35.0,1351034675000,88,5,5,5,5,7,7,6,6,6,6,6,6,6,6,0,6,0
Khwang,2012-10-23 19:34:24.0,1351035264000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nmistry1,2012-10-23 19:34:30.0,1351035270000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
pater24,2012-10-23 19:42:03.0,1351035723000,88,5,5,5,5,7,7,6,6,0,6,6,6,6,6,6,6,0
Khwang,2012-10-23 19:43:24.0,1351035804000,39,5,5,5,5,7,0,6,0,6,0,0,0,0,0,0,0,0
ipersons,2012-10-23 20:06:26.0,1351037186000,57,5,5,5,5,7,0,6,6,6,6,6,0,0,0,0,0,0
jchen92,2012-10-23 20:20:37.0,1351038037000,41,5,0,5,5,7,7,6,0,6,0,0,0,0,0,0,0,0
jchen92,2012-10-23 20:25:03.0,1351038303000,46,5,5,5,5,7,7,6,0,6,0,0,0,0,0,0,0,0
atran124,2012-10-23 20:29:13.0,1351038553000,57,5,5,5,5,7,0,6,0,0,0,6,6,6,6,0,0,0
arinray,2012-10-23 21:14:57.0,1351041297000,29,5,0,5,5,7,7,0,0,0,0,0,0,0,0,0,0,0
tim2tran,2012-10-23 21:18:38.0,1351041518000,69,5,5,5,5,7,0,6,6,6,0,6,0,0,6,6,0,6
aac312,2012-10-23 21:25:04.0,1351041904000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dsweeney,2012-10-23 21:33:26.0,1351042406000,52,5,5,5,5,7,7,0,6,6,6,0,0,0,0,0,0,0
ahayhurs,2012-10-23 21:33:56.0,1351042436000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
dsweeney,2012-10-23 21:36:24.0,1351042584000,52,5,5,5,5,7,7,0,6,6,6,0,0,0,0,0,0,0
gagankt,2012-10-23 21:41:47.0,1351042907000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
sdmart3,2012-10-23 21:46:25.0,1351043185000,40,5,5,0,5,7,0,6,0,6,0,0,0,0,0,6,0,0
lyuhau,2012-10-23 21:49:02.0,1351043342000,63,5,5,5,5,7,0,6,6,0,6,0,0,0,6,6,0,6
tim2tran,2012-10-23 21:49:42.0,1351043382000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdmart3,2012-10-23 21:51:45.0,1351043505000,40,5,5,0,5,7,0,6,0,6,0,0,0,0,0,6,0,0
tim2tran,2012-10-23 21:52:24.0,1351043544000,69,5,5,5,5,7,0,6,6,6,0,6,0,0,6,6,0,6
ssilberh,2012-10-23 21:56:48.0,1351043808000,40,5,5,5,5,7,7,0,0,6,0,0,0,0,0,0,0,0
dmaywest,2012-10-23 21:57:54.0,1351043874000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garrettt,2012-10-23 21:58:23.0,1351043903000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
lucataco,2012-10-23 21:58:39.0,1351043919000,75,5,5,5,5,7,0,6,6,6,6,6,6,6,6,0,0,0
gheysens,2012-10-23 21:59:25.0,1351043965000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmasigla,2012-10-23 21:59:35.0,1351043975000,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garrettt,2012-10-23 21:59:57.0,1351043997000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
ipersons,2012-10-23 22:00:03.0,1351044003000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
ssilberh,2012-10-23 22:00:22.0,1351044022000,40,5,5,5,5,7,7,0,0,6,0,0,0,0,0,0,0,0
relh,2012-10-23 22:00:49.0,1351044049000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipersons,2012-10-23 22:01:37.0,1351044097000,59,5,5,0,5,7,7,6,0,6,0,6,6,6,0,0,0,0
ipersons,2012-10-23 22:02:58.0,1351044178000,76,5,5,5,5,7,7,6,6,6,6,6,6,6,0,0,0,0
pmasigla,2012-10-23 22:03:31.0,1351044211000,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sal1992,2012-10-23 22:07:49.0,1351044469000,17,5,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0
nmistry1,2012-10-23 22:41:07.0,1351046467000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
garrettt,2012-10-23 22:56:26.0,1351047386000,75,5,5,5,5,7,0,6,6,6,6,6,6,6,6,0,0,0
sal1992,2012-10-23 23:04:56.0,1351047896000,45,5,5,5,5,7,0,0,0,0,0,6,6,6,0,0,0,0
pmasigla,2012-10-23 23:30:32.0,1351049432000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmasigla,2012-10-24 00:10:52.0,1351051852000,57,5,5,5,5,7,0,6,6,0,6,6,0,0,6,0,0,0
dmaywest,2012-10-24 03:02:55.0,1351062175000,100,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6
tlutz,2012-10-24 03:20:13.0,1351063213000,88,5,5,5,5,7,7,6,6,0,6,6,6,6,6,6,0,6
gheysens,2012-10-24 12:01:22.0,1351094482000,24,5,0,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0
sal1992,2012-10-24 14:29:02.0,1351103342000,45,5,5,5,5,7,0,0,0,0,0,6,6,6,0,0,0,0
dquispe,2012-10-24 15:07:31.0,1351105651000,64,5,5,5,5,7,7,6,6,6,6,0,0,0,0,0,6,0
gheysens,2012-10-24 15:44:29.0,1351107869000,76,5,5,5,5,7,7,0,6,0,6,6,6,6,0,6,0,6
sal1992,2012-10-24 16:33:34.0,1351110814000,63,5,5,5,5,7,0,6,0,0,0,6,6,6,6,6,0,0
gkempeni,2012-10-24 17:28:28.0,1351114108000,94,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,6
kmadura,2012-10-24 17:36:58.0,1351114618000,17,5,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
kmadura,2012-10-24 17:37:55.0,1351114675000,17,5,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
kmadura,2012-10-24 17:39:26.0,1351114766000,17,5,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
kmadura,2012-10-24 17:42:53.0,1351114973000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
